2023-12-30 20:12:441 INFO  RegisterPage :149 - Getting Enter Account Information text : [[ChromeDriver: chrome on windows (1c8916616b126b3b218bbd283a21d711)] -> xpath: //b[normalize-space()='Enter Account Information']]
2023-12-30 20:12:941 INFO  HomePage :61 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (e16ac62d6d9c841b995b4f5f6b332059)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-30 20:12:150 INFO  HomePage :73 - Sending the name text to signup field : [[ChromeDriver: chrome on windows (e16ac62d6d9c841b995b4f5f6b332059)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:252 INFO  HomePage :75 - Sending the email text to signup field : [[ChromeDriver: chrome on windows (e16ac62d6d9c841b995b4f5f6b332059)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:212 INFO  HomePage :91 - Clicking on Signup button : [[ChromeDriver: chrome on windows (e16ac62d6d9c841b995b4f5f6b332059)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 20:12:265 INFO  RegisterPage :149 - Getting Enter Account Information text : [[ChromeDriver: chrome on windows (e16ac62d6d9c841b995b4f5f6b332059)] -> xpath: //b[normalize-space()='Enter Account Information']]
2023-12-30 20:12:761 INFO  HomePage :49 - Getting Home Page URL : 
2023-12-30 20:12:952 INFO  HomePage :43 - Clicking on header menu option : [[[ChromeDriver: chrome on windows (7a620f2019b908fd9b0297ee0a9003ae)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7a620f2019b908fd9b0297ee0a9003ae)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7a620f2019b908fd9b0297ee0a9003ae)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7a620f2019b908fd9b0297ee0a9003ae)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7a620f2019b908fd9b0297ee0a9003ae)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7a620f2019b908fd9b0297ee0a9003ae)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7a620f2019b908fd9b0297ee0a9003ae)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7a620f2019b908fd9b0297ee0a9003ae)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2023-12-30 20:12:33 INFO  HomePage :61 - Getting text as New User Signup! : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='New User Signup!']'
2023-12-30 20:12:97 INFO  HomePage :49 - Getting Home Page URL : 
2023-12-30 20:12:408 INFO  HomePage :61 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-30 20:12:752 INFO  HomePage :73 - Sending the name text to signup field : [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:813 INFO  HomePage :75 - Sending the email text to signup field : [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:822 INFO  HomePage :91 - Clicking on Signup button : [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 20:12:27 INFO  RegisterPage :105 - Selecting radio button Mrs.
